time,FLOW,TEMP,SALT
2018-07-12,3e-4,20.6195,0
2018-07-13,2e-4,20.5859,0
2018-07-14,2e-4,20.0862,0
2018-07-15,3e-4,20.2506,0
2018-07-16,2e-4,20.931,0
2018-07-17,8e-4,21.0748,0
2018-07-18,2e-4,20.4148,0
2018-07-19,1e-4,18.9759,0
2018-07-20,1e-4,19.2485,0
2018-07-21,1e-4,19.3557,0
2018-07-22,7e-4,19.042,0
2018-07-23,0.0027,18.9587,0
2018-07-24,0.0041,19.389,0
2018-07-25,0.0063,19.1577,0
2018-07-26,0.0022,19.604,0
2018-07-27,0.0012,20.0864,0
2018-07-28,7e-4,19.7999,0
2018-07-29,4e-4,19.244,0
2018-07-30,5e-4,19.8555,0
2018-07-31,6e-4,19.4264,0
2018-08-01,0.0015,19.8906,0
2018-08-02,0.0091,19.7009,0
2018-08-03,0.0061,19.1111,0
2018-08-04,0.0031,19.664,0
2018-08-05,0.0012,20.3637,0
2018-08-06,6e-4,20.6046,0
2018-08-07,6e-4,20.7632,0
2018-08-08,5e-4,20.8025,0
2018-08-09,3e-4,20.7215,0
2018-08-10,2e-4,20.3407,0
2018-08-11,3e-4,20.5299,0
2018-08-12,4e-4,20.0085,0
2018-08-13,3e-4,19.3985,0
2018-08-14,2e-4,18.8217,0
2018-08-15,0,19.3573,0
2018-08-16,0,20.6062,0
2018-08-17,0,20.7104,0
2018-08-18,0,18.8798,0
2018-08-19,0,20.9178,0
2018-08-20,0,19.9743,0
2018-08-21,0.0166,19.7635,0
2018-08-22,0.0271,19.0844,0
2018-08-23,0.0363,19.1777,0
2018-08-24,0.0405,18.0059,0
2018-08-25,0.0595,18.5793,0
2018-08-26,0.0573,19.291,0
2018-08-27,0.0394,19.971800000000002,0
2018-08-28,0.0615,19.7239,0
2018-08-29,0.062,20.9628,0
2018-08-30,0.0789,19.1871,0
2018-08-31,0.0888,17.03,0
